id,equipment_name,status,date,start_date,start_time,end_date,end_time,duration_minutes,alert,reason,issue,comment,date_created_at,time_created_at,duration_seconds,duration_formatted
0006021f-c730-4533-9ac1-2e3679eb9540,IMA E06,Inactive,2025-09-17,2025-10-08,2025-10-08 20:%i:1759934197,2025-10-08,2025-10-08 20:%i:1759934292,2,Yes,,,,2025-10-01,03:24:-2208995801,120,00:02:00
002f00b4-b1b9-45a2-b5c8-8fa581e56772,IMA E06,Inactive,2025-09-20,2025-10-08,2025-10-08 17:%i:1759925953,2025-10-08,2025-10-08 17:%i:1759926018,1,No,,,,2025-10-01,03:24:-2208995800,60,00:01:00
00350f4b-5fd1-4160-a2cb-5e020148c1e0,IMA E06,Active,2025-09-23,2025-10-08,2025-10-08 08:%i:1759893648,2025-10-08,2025-10-08 08:%i:1759893768,2,No,,,,2025-10-01,03:24:-2208995799,120,00:02:00
003889e4-11ec-4cd6-957b-9d3456a5d405,IMA T19,Active,2025-09-18,2025-10-08,2025-10-08 09:%i:1759895936,2025-10-08,2025-10-08 09:%i:1759897136,20,No,,,,2025-10-01,03:24:-2208995807,1200,00:20:00
003c64cf-0d76-4004-b3f5-ca65d0e1659a,IMA T19,Inactive,2025-09-26,2025-10-08,2025-10-08 21:%i:1759937968,2025-10-08,2025-10-08 21:%i:1759938058,2,Yes,Mechanical General,311 Crumpled filter paper,,2025-10-01,03:24:-2208995804,120,00:02:00
006a1214-766f-4b0f-a128-044778593f8c,IMA E06,Active,2025-09-15,2025-10-08,2025-10-08 06:%i:1759884344,2025-10-08,2025-10-08 06:%i:1759884704,6,No,,,,2025-10-01,03:24:-2208995802,360,00:06:00
00b4448b-8923-4374-998a-8e3546411168,IMA T19,Active,2025-09-22,2025-10-08,2025-10-08 11:%i:1759901903,2025-10-08,2025-10-08 11:%i:1759902083,3,No,,,,2025-10-01,03:24:-2208995805,180,00:03:00
00be27a1-b690-446b-a665-023a485c310a,IMA E06,Active,2025-09-26,2025-10-08,2025-10-08 13:%i:1759909233,2025-10-08,2025-10-08 13:%i:1759911483,38,No,,,,2025-10-01,03:24:-2208995797,2280,00:38:00
00cfb284-0247-442e-aa3b-40b4e58b2e31,IMA T19,Active,2025-09-29,2025-10-08,2025-10-08 15:%i:1759918170,2025-10-08,2025-10-08 15:%i:1759918500,6,No,,,,2025-10-01,03:24:-2208995803,360,00:06:00
00d5651e-cc95-485d-b546-bdf57ff76eac,IMA E06,Active,2025-09-29,2025-10-08,2025-10-08 08:%i:1759891913,2025-10-08,2025-10-08 08:%i:1759892153,4,No,,,,2025-10-01,03:24:-2208995797,240,00:04:00
014f58d0-3d8a-4c91-b760-c630efeab227,IMA T19,Active,2025-09-25,2025-10-08,2025-10-08 22:%i:1759943308,2025-10-08,2025-10-08 22:%i:1759943608,5,No,,,,2025-10-01,03:24:-2208995804,300,00:05:00
0155c9d3-12fd-4ce3-ac6c-480f86afde38,IMA E06,Inactive,2025-09-19,2025-10-08,2025-10-08 15:%i:1759916448,2025-10-08,2025-10-08 15:%i:1759917233,13,Yes,Admin,143 TEA BREAK,,2025-10-01,03:24:-2208995800,780,00:13:00
0163b888-a400-4723-98cc-4b3ae412ab7e,IMA T19,Active,2025-09-17,2025-10-08,2025-10-08 18:%i:1759929865,2025-10-08,2025-10-08 19:%i:1759930765,15,No,,,,2025-10-01,03:24:-2208995808,900,00:15:00
01c14393-0142-4850-95af-41f0ac99e850,IMA T19,Inactive,2025-09-16,2025-10-08,2025-10-08 10:%i:1759900661,2025-10-08,2025-10-08 10:%i:1759900821,3,No,,,,2025-10-01,03:24:-2208995808,180,00:03:00
01c46695-33e0-42a6-a190-f3aa6e1bad14,IMA E06,Active,2025-09-29,2025-10-08,2025-10-08 12:%i:1759906745,2025-10-08,2025-10-08 12:%i:1759906865,2,No,,,,2025-10-01,03:24:-2208995797,120,00:02:00
01f0889a-f48f-4f95-85e8-e7fb0114a802,IMA E06,Active,2025-09-26,2025-10-08,2025-10-08 03:%i:1759874407,2025-10-08,2025-10-08 03:%i:1759874677,4,No,,,,2025-10-01,03:24:-2208995797,240,00:04:00
0203e3b1-db44-4639-8b16-3e663f84b6c7,IMA T19,Inactive,2025-09-20,2025-10-08,2025-10-08 22:%i:1759941102,2025-10-08,2025-10-08 22:%i:1759941330,4,Yes,Admin,129 Weekly CLIRT,,2025-10-01,03:24:-2208995806,240,00:04:00
02180476-27fa-4766-863d-09d3306466ef,IMA E06,Active,2025-09-19,2025-10-08,2025-10-08 23:%i:1759945692,2025-10-08,2025-10-08 23:%i:1759947342,28,No,,,,2025-10-01,03:24:-2208995800,1680,00:28:00
02187b9a-6021-4bef-bf10-2ea4ea77940b,IMA E06,Active,2025-09-27,2025-10-08,2025-10-08 06:%i:1759886140,2025-10-08,2025-10-08 07:%i:1759887491,23,No,,,,2025-10-01,03:24:-2208995797,1380,00:23:00
0234ea2c-5685-4f4b-8af1-826cb4ce9d91,IMA T19,Active,2025-09-15,2025-10-08,2025-10-08 17:%i:1759926325,2025-10-08,2025-10-08 17:%i:1759926385,1,No,,,,2025-10-01,03:24:-2208995808,60,00:01:00
027dc38b-b7f7-46e5-b417-505fb599b27f,IMA E06,Inactive,2025-09-29,2025-10-08,2025-10-08 07:%i:1759889411,2025-10-08,2025-10-08 07:%i:1759889565,3,Yes,Breakdown (Unplanned),,falling alu,2025-10-01,03:24:-2208995797,180,00:03:00
02960c56-6f81-4e8c-9167-6ab486a8d8de,IMA E06,Active,2025-09-22,2025-10-08,2025-10-08 18:%i:1759929143,2025-10-08,2025-10-08 18:%i:1759929293,2,No,,,,2025-10-01,03:24:-2208995799,120,00:02:00
02c66f38-313a-4cd4-8ec9-1d3861a6f344,IMA T19,Active,2025-09-17,2025-10-08,2025-10-08 22:%i:1759944595,2025-10-08,2025-10-08 23:%i:1759945555,16,No,,,,2025-10-01,03:24:-2208995808,960,00:16:00
02f175a6-49b3-4dd8-9cc7-a7fcda9f44e7,IMA E06,Inactive,2025-09-29,2025-10-08,2025-10-08 08:%i:1759892307,2025-10-08,2025-10-08 08:%i:1759892454,2,Yes,,,,2025-10-01,03:24:-2208995797,120,00:02:00
02f38f1e-436c-4407-bd22-939fd02215f0,IMA T19,Inactive,2025-09-18,2025-10-08,2025-10-08 19:%i:1759933487,2025-10-08,2025-10-08 20:%i:1759937358,65,Yes,,,,2025-10-01,03:24:-2208995807,3900,01:05:00
0300a600-1953-4935-997a-88561e3e83bd,IMA T19,Active,2025-09-19,2025-10-08,2025-10-08 13:%i:1759912096,2025-10-08,2025-10-08 14:%i:1759913206,18,No,,,,2025-10-01,03:24:-2208995807,1080,00:18:00
03173dc8-ab30-4fd7-ad24-2e01b189ffa3,IMA T19,Active,2025-09-23,2025-10-08,2025-10-08 14:%i:1759915509,2025-10-08,2025-10-08 15:%i:1759916739,20,No,,,,2025-10-01,03:24:-2208995805,1200,00:20:00
0359bfd9-5546-4c2e-9233-eda5b57b0ff3,IMA T19,Active,2025-09-18,2025-10-08,2025-10-08 07:%i:1759887994,2025-10-08,2025-10-08 07:%i:1759888324,6,No,,,,2025-10-01,03:24:-2208995807,360,00:06:00
03834ce9-2d58-4cd9-8859-04ea6ac43e8b,IMA T19,Inactive,2025-09-18,2025-10-08,2025-10-08 21:%i:1759939816,2025-10-08,2025-10-08 21:%i:1759940361,9,Yes,,,,2025-10-01,03:24:-2208995807,540,00:09:00
0387a15d-798a-4e82-a6d5-4888556b07c2,IMA E06,Inactive,2025-09-27,2025-10-08,2025-10-08 21:%i:1759938241,2025-10-08,2025-10-08 21:%i:1759939381,19,No,,,,2025-10-01,03:24:-2208995797,1140,00:19:00
038834d0-74ba-49fe-b3f7-e4f648c36f87,IMA E06,Active,2025-09-17,2025-10-08,2025-10-08 18:%i:1759927368,2025-10-08,2025-10-08 18:%i:1759928328,16,No,,,,2025-10-01,03:24:-2208995801,960,00:16:00
03963e38-cd9b-4945-b893-42d1e4fe8f38,IMA E06,Inactive,2025-09-24,2025-10-08,2025-10-08 15:%i:1759919278,2025-10-08,2025-10-08 17:%i:1759925885,110,No,,,,2025-10-01,03:24:-2208995798,6600,01:50:00
03a0009c-db25-4cf8-8432-00f4b081702c,IMA T19,Active,2025-09-23,2025-10-08,2025-10-08 12:%i:1759907839,2025-10-08,2025-10-08 12:%i:1759908409,10,No,,,,2025-10-01,03:24:-2208995805,600,00:10:00
03b9b254-edc9-477e-bcd7-ae0d112de18b,IMA E06,Inactive,2025-09-20,2025-10-08,2025-10-08 13:%i:1759908793,2025-10-08,2025-10-08 15:%i:1759917648,148,Yes,Admin,137 Meeting,,2025-10-01,03:24:-2208995800,8880,02:28:00
03bb9fd5-4b76-46b5-9b1b-50604df60ebb,IMA T19,Active,2025-09-15,2025-10-08,2025-10-08 13:%i:1759911203,2025-10-08,2025-10-08 14:%i:1759914773,60,No,,,,2025-10-01,03:24:-2208995808,3600,01:00:00
03cc23ac-1222-4e81-86c5-6781ab35c15b,IMA T19,Active,2025-09-23,2025-10-08,2025-10-08 21:%i:1759937652,2025-10-08,2025-10-08 21:%i:1759937802,2,No,,,,2025-10-01,03:24:-2208995805,120,00:02:00
03cc69cf-46b3-444c-8513-0bf9544a1010,IMA E06,Active,2025-09-22,2025-10-08,2025-10-08 08:%i:1759891651,2025-10-08,2025-10-08 08:%i:1759892071,7,No,,,,2025-10-01,03:24:-2208995800,420,00:07:00
03dbc99f-e503-429e-ad2f-b76eb835e480,IMA T19,Active,2025-09-17,2025-10-08,2025-10-08 16:%i:1759922765,2025-10-08,2025-10-08 17:%i:1759923635,14,No,,,,2025-10-01,03:24:-2208995808,840,00:14:00
03e7539c-e58b-4590-bad1-18028ef125ae,IMA T19,Inactive,2025-09-20,2025-10-08,2025-10-08 22:%i:1759943134,2025-10-08,2025-10-08 23:%i:1759948198,84,Yes,Quality / Rework,127 Reworks,,2025-10-01,03:24:-2208995806,5040,01:24:00
03fa4113-ec9d-490a-ab97-2c70b156d5fc,IMA E06,Active,2025-09-24,2025-10-08,2025-10-08 20:%i:1759934766,2025-10-08,2025-10-08 20:%i:1759937166,40,No,,,,2025-10-01,03:24:-2208995798,2400,00:40:00
040b9950-1918-4707-97fc-70f18d28e515,IMA E06,Inactive,2025-09-18,2025-10-08,2025-10-08 19:%i:1759931735,2025-10-08,2025-10-08 19:%i:1759932010,5,No,,,,2025-10-01,03:24:-2208995800,300,00:05:00
041bcb01-87ed-4904-927e-4d8a73cd24ff,IMA T19,Active,2025-09-25,2025-10-08,2025-10-08 16:%i:1759921720,2025-10-08,2025-10-08 16:%i:1759921780,1,No,,,,2025-10-01,03:24:-2208995804,60,00:01:00
043cdf1d-022a-4d9e-a98c-3bc75d226c99,IMA E06,Inactive,2025-09-29,2025-10-08,2025-10-08 09:%i:1759896732,2025-10-08,2025-10-08 09:%i:1759896862,2,Yes,,,,2025-10-01,03:24:-2208995797,120,00:02:00
044a151c-0126-4252-b8b6-dffabe3157da,IMA T19,Inactive,2025-09-19,2025-10-08,2025-10-08 11:%i:1759901906,2025-10-08,2025-10-08 12:%i:1759905780,65,Yes,Admin,142 Break time,,2025-10-01,03:24:-2208995807,3900,01:05:00
0455184e-c1b3-4da3-95d2-958d83fab5c2,IMA T19,Inactive,2025-09-29,2025-10-08,2025-10-08 13:%i:1759910013,2025-10-08,2025-10-08 13:%i:1759910079,1,Yes,,,,2025-10-01,03:24:-2208995803,60,00:01:00
04568345-a5ad-41e7-9c61-0be136ea8679,IMA E06,Active,2025-09-29,2025-10-08,2025-10-08 08:%i:1759893248,2025-10-08,2025-10-08 08:%i:1759893458,4,No,,,,2025-10-01,03:24:-2208995797,240,00:04:00
045be432-6cd0-402b-915a-28aa3b1a8883,IMA E06,Inactive,2025-09-19,2025-10-08,2025-10-08 15:%i:1759916003,2025-10-08,2025-10-08 15:%i:1759916097,2,No,,,,2025-10-01,03:24:-2208995800,120,00:02:00
046ec5a5-4887-4118-a829-63df51bdb8a5,IMA T19,Active,2025-09-23,2025-10-08,2025-10-08 16:%i:1759922457,2025-10-08,2025-10-08 16:%i:1759922547,2,No,,,,2025-10-01,03:24:-2208995805,120,00:02:00
04774672-6142-43bc-a089-f1530ee39da0,IMA E06,Inactive,2025-09-18,2025-10-08,2025-10-08 20:%i:1759937085,2025-10-08,2025-10-08 21:%i:1759940789,62,Yes,,,,2025-10-01,03:24:-2208995800,3720,01:02:00
048731e5-a9c3-4ea2-ae44-1db32b8b4471,IMA T19,Active,2025-09-29,2025-10-08,2025-10-08 07:%i:1759890386,2025-10-08,2025-10-08 08:%i:1759891136,12,No,,,,2025-10-01,03:24:-2208995803,720,00:12:00
04b02535-fe3b-4a3c-abe2-af8ad3f0e2ff,IMA T19,Active,2025-09-19,2025-10-08,2025-10-08 15:%i:1759917828,2025-10-08,2025-10-08 15:%i:1759918638,14,No,,,,2025-10-01,03:24:-2208995807,840,00:14:00
04cbc87b-c927-4c02-bf53-076e98a818ec,IMA T19,Active,2025-09-24,2025-10-08,2025-10-08 15:%i:1759918269,2025-10-08,2025-10-08 15:%i:1759918449,3,No,,,,2025-10-01,03:24:-2208995805,180,00:03:00
04fba870-b2f4-4d47-90c6-ae01884a4b9a,IMA T19,Inactive,2025-09-15,2025-10-08,2025-10-08 13:%i:1759909205,2025-10-08,2025-10-08 13:%i:1759909269,1,No,,,,2025-10-01,03:24:-2208995808,60,00:01:00
04fe2aec-fa8b-4431-a601-2c2782f95bbc,IMA T19,Active,2025-09-17,2025-10-08,2025-10-08 14:%i:1759912644,2025-10-08,2025-10-08 14:%i:1759913864,20,No,,,,2025-10-01,03:24:-2208995808,1200,00:20:00
0510bd8a-1c1b-439d-91be-b3fb961c5f9c,IMA E06,Inactive,2025-09-26,2025-10-08,2025-10-08 10:%i:1759900210,2025-10-08,2025-10-08 10:%i:1759900275,1,No,,,,2025-10-01,03:24:-2208995797,60,00:01:00
05138630-dfee-49b0-a4f2-2be1417be93a,IMA T19,Active,2025-09-25,2025-10-08,2025-10-08 19:%i:1759933385,2025-10-08,2025-10-08 19:%i:1759933445,1,No,,,,2025-10-01,03:24:-2208995804,60,00:01:00
0519fbf8-79e1-44d3-887f-385cdfb1d8ff,IMA E06,Inactive,2025-09-19,2025-10-08,2025-10-08 19:%i:1759933798,2025-10-08,2025-10-08 20:%i:1759933868,1,No,,,,2025-10-01,03:24:-2208995800,60,00:01:00
051c3992-b575-486f-a284-daa632971bea,IMA T19,Inactive,2025-09-18,2025-10-08,2025-10-08 23:%i:1759945944,2025-10-08,2025-10-08 00:%i:1759861800,38,No,,,,2025-10-01,03:24:-2208995807,2280,00:38:00
052f2b18-6c24-47d8-aef3-ee9a43950172,IMA T19,Active,2025-09-20,2025-10-08,2025-10-08 19:%i:1759933242,2025-10-08,2025-10-08 19:%i:1759933452,4,No,,,,2025-10-01,03:24:-2208995806,240,00:04:00
05455102-9c52-40b0-92b6-ae7d3b4db777,IMA T19,Active,2025-09-22,2025-10-08,2025-10-08 18:%i:1759928549,2025-10-08,2025-10-08 19:%i:1759930259,28,No,,,,2025-10-01,03:24:-2208995805,1680,00:28:00
05545579-977a-48b5-9ee8-9d51d768c280,IMA T19,Active,2025-09-27,2025-10-08,2025-10-08 12:%i:1759907915,2025-10-08,2025-10-08 12:%i:1759908515,10,No,,,,2025-10-01,03:24:-2208995804,600,00:10:00
